Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
ISS Research Independent Study,ISS,493,IND,09,10472,9,10,10.0,6/27/2021 6:26:05 PM
ISS Research Independent Study,ISS,493,IND,10,10473,5,5,0.0,6/27/2021 6:26:08 PM
ISS Research Independent Study,ISS,493,IND,11,10474,5,5,0.0,6/27/2021 6:26:10 PM
ISS Research Independent Study,ISS,493,IND,12,10475,5,5,0.0,6/27/2021 6:26:12 PM
First Year Seminar in Italian,ITALIAN,89S,SEM,01,9482,0,18,100.0,6/27/2021 5:30:18 PM
Elementary Italian 1,ITALIAN,101,Lecture,01,9368,4,15,73.33333333333333,6/27/2021 5:30:20 PM
Elementary Italian 1,ITALIAN,101,Lecture,02,9369,0,15,100.0,6/27/2021 5:30:23 PM
Elementary Italian 1,ITALIAN,101,Lecture,03,9370,8,15,46.666666666666664,6/27/2021 5:30:25 PM
Elementary Italian 1,ITALIAN,101,Lecture,04,9371,0,15,100.0,6/27/2021 5:30:27 PM
Elementary Italian 1,ITALIAN,101,Lecture,05,11487,0,15,100.0,6/27/2021 5:30:30 PM
Elementary Italian 2,ITALIAN,102,Lecture,02,9373,3,15,80.0,6/27/2021 5:30:32 PM
Elementary Italian 2,ITALIAN,102,Lecture,03,9374,0,15,100.0,6/27/2021 5:30:34 PM
Elementary Italian 2,ITALIAN,102,Lecture,04,9375,0,15,100.0,6/27/2021 5:30:37 PM
Elementary Italian 2,ITALIAN,102,Lecture,05,9376,0,15,100.0,6/27/2021 5:30:39 PM
Elementary Italian 2,ITALIAN,102,Lecture,06,11361,4,15,73.33333333333333,6/27/2021 5:30:41 PM
What Is Europe?,ITALIAN,201,Lecture,01,9466,1,21,95.23809523809523,6/27/2021 5:30:44 PM
Intermediate Italian,ITALIAN,203,Lecture,02,9379,2,15,86.66666666666667,6/27/2021 5:30:46 PM
Intermediate Italian,ITALIAN,203,Lecture,03,9380,0,15,100.0,6/27/2021 5:30:49 PM
Intermediate Italian,ITALIAN,203,Lecture,04,9381,1,15,93.33333333333333,6/27/2021 5:30:51 PM
Intermediate Italian,ITALIAN,203,Lecture,05,9382,0,15,100.0,6/27/2021 5:30:53 PM
"Introduction to Italian Studies: Language, Literature, Film",ITALIAN,301S,SEM,01,9383,8,15,46.666666666666664,6/27/2021 5:30:56 PM
"Italian Conversations: Explore Italy and Italians through Media, Film, Literature",ITALIAN,302S,SEM,01,9490,1,15,93.33333333333333,6/27/2021 5:30:58 PM
Italian Sociolinguistics,ITALIAN,303S,SEM,01,9445,15,18,16.666666666666664,6/27/2021 5:31:01 PM
Italian Studies Seminar,ITALIAN,328S,SEM,01,9509,13,18,27.77777777777778,6/27/2021 5:31:03 PM
America from Abroad: Literature and Cinema,ITALIAN,337,Lecture,01,9498,0,30,100.0,6/27/2021 5:31:05 PM
America from Abroad: Literature and Cinema Preceptorial,ITALIAN,337P,PRC,01P,11810,7,10,30.0,6/27/2021 5:31:08 PM
