Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Spanish Civil War in History and Literature | SPANISH 373S,SEM Section 01,9494,5,15,66.66666666666666,2021-06-27 17:39:56.347223
Research Independent Study | SPANISH 394,IND Section 01,2909,1,1,0.0,2021-06-27 17:39:58.664930
Research Independent Study | SPANISH 394,IND Section 02,2910,1,1,0.0,2021-06-27 17:40:01.001335
Identity and Linguistic Rights in the Spanish Speaking Americas | SPANISH 409S,SEM Section 01,9487,7,12,41.66666666666667,2021-06-27 17:40:03.400592
"Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America | SPANISH 412S",SEM Section 01,9456,0,18,100.0,2021-06-27 17:40:05.807986
Spanish Cinema from the Transition to the Present | SPANISH 419,Lecture Section 01,11197,-4,15,126.66666666666666,2021-06-27 17:40:08.395566
Popular Culture and Political Repression in Spain and Latin America | SPANISH 432S,SEM Section 01,9426,1,15,93.33333333333333,2021-06-27 17:40:10.759580
Spain: Special Topics | SPANISH 490,Lecture Section 01,11194,8,15,46.666666666666664,2021-06-27 17:40:13.161017
Research Independent Study | SPANISH 494,IND Section 01,2911,0,1,100.0,2021-06-27 17:40:15.538249
Research Independent Study | SPANISH 494,IND Section 02,2912,1,1,0.0,2021-06-27 17:40:17.912173
Research Independent Study | SPANISH 494,IND Section 03,2913,1,1,0.0,2021-06-27 17:40:20.283585
Research Independent Study | SPANISH 494,IND Section 04,2914,1,1,0.0,2021-06-27 17:40:22.655025
Honors Thesis | SPANISH 496,IND Section 01,2915,0,1,100.0,2021-06-27 17:40:25.037946
