Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
"Motivation, Action, Choice: Neural and Behavioral Mechanisms | NEUROSCI 478S",SEM Section 01,4557,0,18,100.0,2021-06-27 17:35:46.155935
Research Independent Study 1 | NEUROSCI 493,IND Section 01,3832,0,1,100.0,2021-06-27 17:35:48.566850
Research Independent Study 1 | NEUROSCI 493,IND Section 02,3833,0,1,100.0,2021-06-27 17:35:50.935958
Research Independent Study 1 | NEUROSCI 493,IND Section 03,3834,0,1,100.0,2021-06-27 17:35:53.321677
Research Independent Study 1 | NEUROSCI 493,IND Section 04,3835,0,1,100.0,2021-06-27 17:35:55.805162
Research Independent Study 1 | NEUROSCI 493,IND Section 05,3836,0,1,100.0,2021-06-27 17:35:58.216035
Research Independent Study 1 | NEUROSCI 493,IND Section 06,3837,0,1,100.0,2021-06-27 17:36:00.631249
Research Independent Study 1 | NEUROSCI 493,IND Section 07,3838,0,1,100.0,2021-06-27 17:36:03.359739
Research Independent Study 1 | NEUROSCI 493,IND Section 08,3839,0,1,100.0,2021-06-27 17:36:05.780153
Research Independent Study 1 | NEUROSCI 493,IND Section 09,3840,0,1,100.0,2021-06-27 17:36:08.254908
Research Independent Study 1 | NEUROSCI 493,IND Section 10,3841,0,1,100.0,2021-06-27 17:36:10.683244
Research Independent Study 1 | NEUROSCI 493,IND Section 11,3842,0,1,100.0,2021-06-27 17:36:13.155067
Research Independent Study 1 | NEUROSCI 493,IND Section 12,3843,0,1,100.0,2021-06-27 17:36:15.607305
Research Independent Study 1 | NEUROSCI 493,IND Section 13,3844,0,1,100.0,2021-06-27 17:36:17.988500
Research Independent Study 1 | NEUROSCI 493,IND Section 14,3845,0,1,100.0,2021-06-27 17:36:20.417694
Research Independent Study 1 | NEUROSCI 493,IND Section 15,3846,0,1,100.0,2021-06-27 17:36:23.024690
Research Independent Study 1 | NEUROSCI 493,IND Section 16,3847,0,1,100.0,2021-06-27 17:36:25.401025
Research Independent Study 1 | NEUROSCI 493,IND Section 17,3848,0,1,100.0,2021-06-27 17:36:27.809772
Research Independent Study 1 | NEUROSCI 493,IND Section 18,3849,0,1,100.0,2021-06-27 17:36:30.231292
Research Independent Study 1 | NEUROSCI 493,IND Section 19,3850,0,1,100.0,2021-06-27 17:36:32.624572
Research Independent Study 1 | NEUROSCI 493,IND Section 20,3851,0,1,100.0,2021-06-27 17:36:34.976564
Research Independent Study 1 | NEUROSCI 493,IND Section 21,3852,0,1,100.0,2021-06-27 17:36:37.334060
Research Independent Study 1 | NEUROSCI 493,IND Section 22,3853,0,1,100.0,2021-06-27 17:36:39.669880
Research Independent Study 1 | NEUROSCI 493,IND Section 23,3854,1,1,0.0,2021-06-27 17:36:42.019633
Research Independent Study 1 | NEUROSCI 493,IND Section 24,3855,1,1,0.0,2021-06-27 17:36:44.412315
Research Independent Study 1 | NEUROSCI 493,IND Section 25,3856,1,1,0.0,2021-06-27 17:36:46.799230
Research Independent Study 1 | NEUROSCI 493,IND Section 26,3857,1,1,0.0,2021-06-27 17:36:49.173220
Research Independent Study 1 | NEUROSCI 493,IND Section 27,3858,1,1,0.0,2021-06-27 17:36:51.538542
Research Independent Study 1 | NEUROSCI 493,IND Section 28,3859,1,1,0.0,2021-06-27 17:36:54.222995
Research Independent Study 1 | NEUROSCI 493,IND Section 29,3860,1,1,0.0,2021-06-27 17:36:56.595241
Research Independent Study 1 | NEUROSCI 493,IND Section 30,3861,1,1,0.0,2021-06-27 17:36:59.073771
Research Independent Study 1 | NEUROSCI 493,IND Section 31,3862,1,1,0.0,2021-06-27 17:37:01.390228
Research Independent Study 1 | NEUROSCI 493,IND Section 32,3863,1,1,0.0,2021-06-27 17:37:03.731185
Research Independent Study 1 | NEUROSCI 493,IND Section 33,3864,1,1,0.0,2021-06-27 17:37:06.060738
Research Independent Study 1 | NEUROSCI 493,IND Section 34,3865,1,1,0.0,2021-06-27 17:37:08.405910
Research Independent Study 1 | NEUROSCI 493,IND Section 35,3866,1,1,0.0,2021-06-27 17:37:10.753489
Research Independent Study 1 | NEUROSCI 493,IND Section 36,3867,1,1,0.0,2021-06-27 17:37:13.204469
Research Independent Study 1 | NEUROSCI 493,IND Section 37,3868,1,1,0.0,2021-06-27 17:37:15.599157
Research Independent Study 1 | NEUROSCI 493,IND Section 38,3869,1,1,0.0,2021-06-27 17:37:17.968277
Research Independent Study 1 | NEUROSCI 493,IND Section 39,3870,1,1,0.0,2021-06-27 17:37:20.339355
Research Independent Study 1 | NEUROSCI 493,IND Section 40,3871,1,1,0.0,2021-06-27 17:37:22.901643
Research Independent Study 1 | NEUROSCI 493,IND Section 41,3872,1,1,0.0,2021-06-27 17:37:25.582446
Research Independent Study 1 | NEUROSCI 493,IND Section 42,3873,1,1,0.0,2021-06-27 17:37:28.172442
Research Independent Study 1 | NEUROSCI 493,IND Section 43,3874,1,1,0.0,2021-06-27 17:37:30.674995
Research Independent Study 1 | NEUROSCI 493,IND Section 44,3875,1,1,0.0,2021-06-27 17:37:33.151171
Research Independent Study 1 | NEUROSCI 493,IND Section 45,3876,1,1,0.0,2021-06-27 17:37:35.600126
